Year,Round,Team,Score,Margin,Rainfall(mm),,,
2012,R18,Carlton,95,4,13.6,,,
2012,R19,Carlton,71,-22,0,,,
2012,R2,Carlton,154,91,0,,,
2012,R20,Carlton,113,36,3,,,
2012,R21,Carlton,156,96,4,,,
2012,R22,Carlton,86,-12,0,,,
2012,R23,Carlton,91,-15,0,,,
2012,R3,Carlton,122,60,0.4,,,
2012,R4,Carlton,79,-30,2.6,,,
2012,R5,Carlton,65,8,0,,,
2012,R6,Carlton,110,67,1.6,,,
2012,R7,Carlton,98,-24,6.2,,,
2012,R8,Carlton,55,-69,0.2,,,
2012,R9,Carlton,107,58,4.6,,,
2020,EF,Collingwood,76,1,2.8,,,
2020,R1,Collingwood,86,52,0,,,
2020,R10,Collingwood,50,9,0,,,
2020,R11,Collingwood,62,24,0.2,,,
2020,R12,Collingwood,44,-56,1.4,,,
2020,R13,Collingwood,65,30,0,,,
2020,R14,Collingwood,72,24,0,,,
2020,R15,Collingwood,34,-8,0,,,
