Venue,Venue (Alternative),City Bin,Latitude,Longitude,Capacity,Length,Width ,State/Country ,Team,Margin,Margin Bin,Home
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Adelaide,-12.3,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Brisbane Lions,-30.8,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Carlton,-10.1,,Y
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Collingwood,5.2,,Y
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Essendon,-0.8,,Y
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Fremantle,-10.7,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Geelong,0.2,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Gold Coast,-32.0,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Greater Western Sydney,-30.3,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Hawthorn,19.2,,Y
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Melbourne,-15.2,,Y
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,North Melbourne,-8.4,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Port Adelaide,6.8,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Richmond,12.0,,Y
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,St Kilda,-19.5,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Sydney,3.7,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,West Coast,-0.1,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Western Bulldogs,-0.4,,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Adelaide,-14.0,-14.0,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Fremantle,-3.5,-3.5,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Geelong,7.0,7.0,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Gold Coast,-16.3,-16.3,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Greater Western Sydney,5.5,5.5,Y
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Hawthorn,56.0,56.0,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Melbourne,-18.3,-18.3,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,North Melbourne,75.0,75.0,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Port Adelaide,-27.3,-27.3,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Richmond,-88.0,-88.0,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,St Kilda,14.0,14.0,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Western Bulldogs,-2.2,-2.2,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Adelaide,24.0,24.0,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Brisbane Lions,19.0,19.0,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Carlton,33.0,33.0,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Essendon,-12.0,-12.0,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Fremantle,-7.7,-7.7,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Gold Coast,-35.5,-35.5,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Melbourne,-15.8,-15.8,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Port Adelaide,9.5,9.5,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Richmond,12.0,12.0,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,West Coast,54.0,54.0,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Western Bulldogs,23.5,23.5,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Adelaide,-6.5,-4.4,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Brisbane Lions,27.0,-16.0,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Carlton,-13.8,-11.8,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Collingwood,-5.4,-18.1,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Essendon,-6.7,-18.2,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Fremantle,-3.4,4.1,Y
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Geelong,-16.2,-7.7,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Gold Coast,-38.5,-45.0,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Greater Western Sydney,-22.7,-38.8,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Hawthorn,30.4,19.9,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Melbourne,-22.5,-36.0,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,North Melbourne,-18.8,-21.1,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Port Adelaide,-7.5,-11.8,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Richmond,-11.0,5.4,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,St Kilda,-13.3,-30.6,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Sydney,11.0,15.8,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,West Coast,24.5,23.6,Y
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Western Bulldogs,-47.0,-44.2,
Riverway Stadium,,Riverway Stadium,-19.31907,146.72989,10000,156,138,QLD,Gold Coast,-4.0,-4.0,
Riverway Stadium,,Riverway Stadium,-19.31907,146.72989,10000,156,138,QLD,St Kilda,4.0,4.0,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Adelaide,-9.4,32.6,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Brisbane Lions,-47.0,-26.5,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Carlton,-37.6,-40.9,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Collingwood,-17.0,5.7,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Essendon,-29.8,-12.3,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Fremantle,-38.6,-38.2,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Geelong,-4.8,-13.1,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Gold Coast,-26.2,-53.2,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Greater Western Sydney,-17.4,-14.4,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Hawthorn,0.2,-1.9,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Melbourne,-44.7,-28.8,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,North Melbourne,-4.3,2.6,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Port Adelaide,-6.0,7.3,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Richmond,-47.3,-6.2,
