Year,Team,Gm,K,HB,D,M,G,GA,I50,BH,T,HO,FF,FA,CL,CG,R50,AF,SC,CP,UP,ED,DE%,CM,MI5,1%,BO,CCL,SCL,MG,TO,ITC,T50
2016,Power,22,199.8,161.1,360.9,73.9,13.6,9.3,54.9,11.6,76.1,30.4,18.6,21.2,39.2,57.9,34.6,1524.6,1612.9,147.1,212.9,254.9,70.6,9.6,10.3,61.9,8.8,12.8,26.4,5802,69.8,68.4,12.8
2016,Saints,22,203.1,173.9,377.1,92.2,13,8.9,52.8,10.8,66.3,38,16.8,17.8,34.5,49.6,36.2,1587.5,1631.2,133.7,243.2,283.7,75.2,12.3,14.4,42.8,7.2,13.5,21,5506.1,65.4,67.3,10.8
2016,Suns,22,195.7,160.1,355.8,87.3,11.7,8.1,48.4,10.5,69.6,31.2,16.8,18.2,33.1,49.3,37.8,1520,1560.8,134.7,221.9,257.7,72.4,10.7,11.7,47.7,9.7,11.7,21.4,5332,66.6,63,9.2
2016,Swans,26,212.2,183.4,395.6,81.8,14.5,10,56.2,11.6,78.8,41.7,18,20,39,53.5,41,1660.1,1735.9,163.6,231.2,281.7,71.2,13.2,11.7,48.7,3.8,12.5,26.5,6005.1,75.2,78.2,13.7
2016,Tigers,22,208.4,158.8,367.2,97.3,11.2,7.8,45.7,10.5,60.1,42.3,19.2,20,34.2,51.1,36.8,1552,1628.9,136.5,230.4,273.9,74.6,12.6,12.7,40.8,5,12.3,21.9,5239.5,67.6,66,8.2
2017,Blues,22,225.7,133.9,359.6,104,10.6,7.3,46.6,9.2,69.4,39,20,18.6,34.3,53,35.9,1608.5,1615.1,137.6,219.9,260.9,72.6,11.6,10.9,46,6.6,11.8,22.6,5133.9,70.6,69,10.7
2017,Bombers,23,219.6,177.4,397,104.3,13.9,9.4,51.4,12,64.2,36.3,18.2,18.6,34.1,54.2,38.1,1675.1,1686.9,138.6,256.5,294.6,74.2,11.6,12.3,46.2,8,13.4,20.7,5598.3,69.2,70.5,10.3
2017,Bulldogs,22,203.9,188.6,392.5,84,11.8,8.6,54.7,13.5,70.5,34.5,19.7,16.8,34.7,47.3,33,1608.4,1649.7,143.9,246.9,290.4,74,9.6,12.1,47.5,7.1,11.3,23.4,5472.4,65.7,68.5,11.7
2017,Cats,25,198.8,184,382.8,87,13.7,8.9,53,11.5,76,41,20.6,21.1,37.4,55.3,33.7,1619.8,1686.5,147.4,237.4,280.6,73.3,12.4,12.6,43.2,7.6,12.6,24.8,5439.7,66.1,68.8,13.7
2017,Crows,25,218.8,173.6,392.4,90.9,15.8,10.8,57.5,13,71.9,45.4,19.8,20,39.6,56.2,34.8,1674,1712.9,154.7,239.4,286.4,73,12.4,14.6,50.3,6.6,13.2,26.4,5983.6,74,77,13.6
2017,Demons,22,208.4,196.8,405.2,85.6,13.7,9.3,54.8,10.1,71.8,34.3,18.6,18.8,38,57.6,34.9,1649.5,1674.8,153.2,252.7,294.9,72.8,9.4,11.9,50.6,6.5,13.5,24.4,5676.2,73.7,73.3,13.5
2017,Dockers,22,202.6,158.2,360.7,90.8,10.5,6.8,47.5,10,63.7,43.3,17.1,18.9,36,53,35.5,1525.9,1546.6,133.3,226.6,265.6,73.6,10.7,9.1,44.1,5.1,12.8,23.2,5234.1,68.7,64.3,8.8
2017,Eagles,24,213.8,162.6,376.4,99.5,12.9,8.9,49.5,10.2,63.4,38.5,19,17.8,37.3,50.9,36.6,1609,1633.1,139.3,239.9,276.2,73.4,12.5,11.8,47.8,5.8,12.2,25.1,5605.7,69.4,69.9,11.7
2017,Giants,25,213.4,171.2,384.6,88.9,13.4,9.4,54.4,12.2,70.5,45.2,18.8,21,42.4,54.6,36.7,1622.7,1703.2,144.3,240.6,286.8,74.6,9.7,11.8,47.1,9.9,13.6,28.8,5735.2,66,66.1,11.9
2017,Hawks,22,214.9,178.8,393.7,103.4,12.4,8.9,48.4,10.3,69.8,39.9,16.6,17.8,35.1,49.7,32.7,1677.8,1646.4,134.4,258.9,300.7,76.4,10.8,11.1,52.9,6.4,11.2,23.9,5136.4,65.6,66,10.7
2017,Kangaroos,22,192.4,176.3,368.6,83.1,13.2,8.5,52.9,11.1,69.6,41.5,19.7,18,35.9,51.8,36,1553.1,1589.5,139.6,228.7,270.6,73.4,11.4,12.7,39.7,6.3,13.4,22.6,5475.8,66.6,66.9,11.9
2017,Lions,22,204.6,159.2,363.8,94,12.6,8.7,46,10.1,62.1,40.5,20.3,18.1,36.4,54.3,39.2,1552.3,1575.5,130.9,229.7,265.6,73,9.2,9.4,46,3.5,13.5,22.9,5239,67.6,64.3,10.2
2017,Magpies,22,222.6,180.3,402.9,105.7,12.6,8.9,54.4,12.5,69.5,43,17.9,15.9,37.5,52.8,32.5,1723,1683.5,144.1,259.9,295.8,73.4,11.4,12.6,44.9,8.3,12.3,25.1,5563.9,68.6,70.2,11.3
2017,Power,23,218.5,160.3,378.8,94.6,14,9.6,59.3,13.3,69.5,45.2,19.3,20.4,38.7,56.6,34.4,1637.2,1675.7,150.6,228.3,270,71.3,13.7,13.4,53.5,6.8,13.3,25.5,5785.1,69.6,73.8,13.7
2017,Saints,22,210,187.9,397.9,93.2,12.3,8.7,52.7,13.6,69.2,38.5,17.8,17,35.8,52,36,1653,1669.7,142.7,255.5,295.3,74.2,11.4,13,42.8,7.7,12.4,23.4,5571.6,69.4,72.7,13.9
2017,Suns,22,210.8,176.6,387.4,96.4,11.7,8.1,48.3,9.7,61.6,41.1,17.3,17.5,36.4,53.8,37.4,1605.6,1602.3,138,248,284.1,73.3,9.1,10.3,47,10,13.9,22.3,5320.7,69.6,64,10.1
2017,Swans,24,209.5,162.3,371.8,90.9,13.7,9.2,52.6,11.6,69.4,38.5,18.9,20.1,36.1,54,37,1593,1664.1,146.1,225.2,269.1,72.4,12.6,13,44.4,4.5,12.4,23.7,5619.8,70,72.1,12.9
2017,Tigers,25,210.3,154.4,364.7,84.5,13.2,9.3,55.8,12.3,69.7,31.8,18.8,21.1,35.9,58,35.8,1548.5,1661.1,144.9,214.1,256,70.2,11,14,47.7,8.6,12.9,23,5711.6,72.7,77.4,14.3
2018,Blues,22,202.9,144.2,347.1,86.8,8.7,5.2,45.2,9.1,63.4,35.1,21.9,21.6,35,57.1,36,1462.5,1515.8,135.6,209.1,244.4,70.4,9.9,9.2,48.1,5.7,12.2,22.9,4923.8,67.3,63,8.4
2018,Bombers,22,217.7,163.9,381.6,96.5,12.7,9.1,53.3,11.4,66.7,37.4,19.2,20.3,36.8,55.3,36.8,1618.5,1681,143.4,239.4,279.1,73.1,11.6,12.2,47.5,11.9,12.6,24.2,5704.1,70.1,70.3,11.8
2018,Bulldogs,22,207.5,180.1,387.6,89.6,10.2,7,52,10.5,63,27.8,21.5,19.3,36.6,52.5,36.3,1564.4,1629.1,139.4,245.9,284.3,73.3,9.4,11.3,51.6,7.6,12.2,24.4,5414.3,73.8,71.8,11.7
