Year,Team,Team 2,Margin
2014,Collingwood,Port Adelaide,6
2014,Collingwood,Richmond,38
2014,Collingwood,St Kilda,86
2014,Collingwood,Sydney,20
2014,Collingwood,West Coast,-26
2014,Collingwood,Western Bulldogs,-8
2014,Essendon,Adelaide,9
2014,Essendon,Brisbane Lions,8
2014,Essendon,Carlton,40.5
2014,Essendon,Collingwood,20.5
2014,Essendon,Essendon,
2014,Essendon,Fremantle,-53
2014,Essendon,Geelong,-9
2014,Essendon,Gold Coast,19
2014,Essendon,Greater Western Sydney,15
2014,Essendon,Hawthorn,-4
2014,Essendon,Melbourne,-1
2014,Essendon,North Melbourne,13.5
2014,Essendon,Port Adelaide,2
2014,Essendon,Richmond,16
2014,Essendon,St Kilda,-16
2014,Essendon,Sydney,-36
2014,Essendon,West Coast,3
2014,Essendon,Western Bulldogs,7.5
2014,Fremantle,Adelaide,40
2014,Fremantle,Brisbane Lions,70.5
2014,Fremantle,Carlton,5
2014,Fremantle,Collingwood,70
